companyname,instrumentname,instrumenttype,countrybuild,builddate
Fender,Mustang,Electric Guitar,the USA,1966
Nord,Modular G1,Synthesizer,Sweden,1998
Gibson,Les Paul,Electric Guitar,the USA,1961
Gibson,LG-0,Acoustic Guitar,the USA,1966
Elektron,DSP-1 Octatrack,Sampler,Sweden,2011
Elektron,Sidstation,Digital Synthesizer,Sweden,1998
Elektron,Digitakt,Sampling Drum Machine,Sweden,2017
Elektron,Digitone,FM Digital Synthesizer,Sweden,2018
Elektron,Analog Four,Analog Synthesizer,Sweden,2012
Elektron,Analog RYTM,Drum Machine,Sweden,2011
Elektron,SFX-6 Monomachine,Digital Synthesizer,Sweden,2005
Fender,Jaguar,Electric Guitar,the USA,1966
Roland,TR-808 with MIDI upgrade,Analog Drum Machine,Japan,1982
Roland,TR-606 With MIDI upgrade,Analog Drum Machine,Japan,1982
Roland,TR-505,Digital Drum Machine,Japan,1986
Roland,TR-707,Digital Drum Machine,Japan,1985
Roland,TB-303 Devilfish and Midi Upgrade,Analog Synthesizer,Japan,1982
Roland,SH-101,Analog Synthesizer,Japan,1983
Roland,Juno 60 with MIDI upgrade,Analog Synthesizer,Japan,1982
Analogue Solutions,Vostok,Analog Semi Modular Synthesizer,England,2011
Macbeth,M5N,Analog Semi Modular Synthesizer,Scotland,2005
Gibson,Les Paul Studio,Electric Guitar,the USA,1998
Paul Reed Smith,Mccarty,Electric Guitar,the USA,1997
Fender,Bass VI Custom Shop Journeyman,Electric Guitar,the USA,2017
Electra,MPC Outlaw x610,Electric Bass,Japan,1978
Elektron,Octatrack MKII,Sampler,Sweden,2019
Moog,E1-M with MIDI Upgrade,Electric Guitar,the USA,2008
Mesa Boogie,Mark IV,Tube Guitar Amplifier,USA,1998
Traynor,YBA-1,Tube Guitar Amplifier,USA,1970
YAMAHA,CP-70,Electric Grand Piano,Japan,1972
EKO,Ekomaster 400,Electric Guitar,Italy,1961
